Product Name,product_id,price_current,price_compare_at,category,sub_category,short_description,inventory_count,usp_badges,narrative_block_1_text,narrative_block_2_text,material_details,dimensions_specs,related_product_ids,rating_average,review_count,faq_data
"Solid Wood Wine Cabinet, bar Rack - Home Wood Furniture",NS-HM-001,233,295.31,Home Furnishings,Decor & Accents,"A deeply comforting solid wood wine cabinet, bar rack - home wood furniture designed to ground your space and promote a parasympathetic response.",43,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-027', 'NS-HM-076', 'NS-HM-025']",4.4,258,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Summer Desk Decor,Welcome Summer Wood Block Sign Desk Decor,Rustic Summer Fruits and Popsicles Wooden Box Plaque Sign Desk Decor for Home Office Shelf Table Decorations",NS-CW-002,171,191.61,Cookware,Knives & Cutlery,"A precision-engineered summer desk decor,welcome summer wood block sign desk decor,rustic summer fruits and popsicles wooden box plaque sign desk decor for home office shelf table decorations designed for restorative and effortless culinary experiences.",102,"['Non-Toxic', 'Precision Engineered', 'Built to Last']","Masterful Craftsmanship: Built with uncompromising attention to detail, ensuring long-lasting performance and a timeless Japandi aesthetic.","Restorative Routine: Elevates your daily preparation into a calming ritual, fostering peace and intentionality.","['Premium Materials', 'Ethically Sourced']","['Standard Dimensions', 'Optimized Weight']","['NS-CW-078', 'NS-CW-046', 'NS-CW-012']",4.9,98,"[{'q': 'Is this easy to clean?', 'a': 'Yes, designed for effortless maintenance.'}, {'q': 'Does it come with a warranty?', 'a': 'Yes, a lifetime warranty covers manufacturing defects.'}]"
"Let the Adventure Begin Door Mat 17""x30"" Decorative Farmhouse Home Campsite Travel Trailer Cabin Indoor Outdoor Front Porch Door Mat,Funny Camping Welcome Mat Decor,Gifts for Campers Camping Lovers",NS-HM-003,268,308.69,Home Furnishings,Decor & Accents,"A deeply comforting let the adventure begin door mat 17""x30"" decorative farmhouse home campsite travel trailer cabin indoor outdoor front porch door mat,funny camping welcome mat decor,gifts for campers camping lovers designed to ground your space and promote a parasympathetic response.",42,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-055', 'NS-HM-003', 'NS-HM-070']",4.7,616,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Honey-Can-Do 3-Tier Nesting Bamboo Shoe Rack SHO-09492 Shoe Rack, Wooden Shoe Rack, 3 Tier Shoe Rack, Stackable Shoe Rack, Bamboo Shoe Rack,60 lbs",NS-CW-004,131,157.95,Cookware,Bakeware,"A precision-engineered honey-can-do 3-tier nesting bamboo shoe rack sho-09492 shoe rack, wooden shoe rack, 3 tier shoe rack, stackable shoe rack, bamboo shoe rack,60 lbs designed for restorative and effortless culinary experiences.",56,"['Non-Toxic', 'Precision Engineered', 'Built to Last']","Masterful Craftsmanship: Built with uncompromising attention to detail, ensuring long-lasting performance and a timeless Japandi aesthetic.","Restorative Routine: Elevates your daily preparation into a calming ritual, fostering peace and intentionality.","['Premium Materials', 'Ethically Sourced']","['Standard Dimensions', 'Optimized Weight']","['NS-CW-073', 'NS-CW-013', 'NS-CW-053']",4.5,400,"[{'q': 'Is this easy to clean?', 'a': 'Yes, designed for effortless maintenance.'}, {'q': 'Does it come with a warranty?', 'a': 'Yes, a lifetime warranty covers manufacturing defects.'}]"
"HomePop Home Decor | K2380-YDQY-2 | Luxury Large Faux Leather Square Storage Ottoman | Ottoman with Storage for Living Room & Bedroom, Dark Brown",NS-HM-005,313,359.49,Home Furnishings,Decor & Accents,"A deeply comforting homepop home decor | k2380-ydqy-2 | luxury large faux leather square storage ottoman | ottoman with storage for living room & bedroom, dark brown designed to ground your space and promote a parasympathetic response.",21,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-050', 'NS-HM-066', 'NS-HM-025']",4.8,276,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"HomePop Metal Accent Table Triangle Base Round Mirror Top, Black, 18.24D x 24W x 18H in",NS-HF-006,27,31.49,Home Furnishings,Decor & Accents,"A deeply comforting homepop metal accent table triangle base round mirror top, black, 18.24d x 24w x 18h in designed to ground your space and promote a parasympathetic response.",59,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HF-066', 'NS-HF-088', 'NS-HF-007']",4.9,710,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Tidy Green, White, Yellow Cotton Kitchen Linen SetÃ‚Â Ã‚Â (Pack of 2)",NS-HM-007,346,407.93,Home Furnishings,Decor & Accents,"A deeply comforting tidy green, white, yellow cotton kitchen linen setÃ¢Â Ã¢Â (pack of 2) designed to ground your space and promote a parasympathetic response.",28,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-040', 'NS-HM-039', 'NS-HM-057']",4.5,111,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Leick Home 70007-WTGD Mixed Metal and Wood Stepped Tier Bookshelf, White Herringbone/Satin Gold",NS-CW-008,170,205.53,Cookware,Bakeware,"A precision-engineered leick home 70007-wtgd mixed metal and wood stepped tier bookshelf, white herringbone/satin gold designed for restorative and effortless culinary experiences.",90,"['Non-Toxic', 'Precision Engineered', 'Built to Last']","Masterful Craftsmanship: Built with uncompromising attention to detail, ensuring long-lasting performance and a timeless Japandi aesthetic.","Restorative Routine: Elevates your daily preparation into a calming ritual, fostering peace and intentionality.","['Premium Materials', 'Ethically Sourced']","['Standard Dimensions', 'Optimized Weight']","['NS-CW-038', 'NS-CW-030', 'NS-CW-082']",4.4,22,"[{'q': 'Is this easy to clean?', 'a': 'Yes, designed for effortless maintenance.'}, {'q': 'Does it come with a warranty?', 'a': 'Yes, a lifetime warranty covers manufacturing defects.'}]"
"Wildkin Kids Canvas Sling Bookshelf with Storage for Boys and Girls, Wooden Design Features Four Shelves and Two Drawers, Helps Keep Bedrooms, Playrooms, and Classrooms Organized (Natural with Blue)",NS-HM-009,335,373.8,Home Furnishings,Decor & Accents,"A deeply comforting wildkin kids canvas sling bookshelf with storage for boys and girls, wooden design features four shelves and two drawers, helps keep bedrooms, playrooms, and classrooms organized (natural with blue) designed to ground your space and promote a parasympathetic response.",80,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-034', 'NS-HM-007', 'NS-HM-023']",4.5,909,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"CangLong Mid Century Modern Side Chair with Wood Legs for Kitchen, Living Dining Room, Set of 1, Black",NS-HM-010,255,298.4,Home Furnishings,Decor & Accents,"A deeply comforting canglong mid century modern side chair with wood legs for kitchen, living dining room, set of 1, black designed to ground your space and promote a parasympathetic response.",95,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-042', 'NS-HM-003', 'NS-HM-015']",4.7,657,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
